foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,Le Réviseur V.S.O.P.,0.7,499.9,714.1,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Petite Champagne,40,11,Le Réviseur,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9295201,
,Williams & Humbert Ron dos Maderas 5+3,0.7,439.9,628.4,Rom,0,0,0,0,0,Spania,Øvrige,,37.5,Ukjent,Williams & Humbert,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9295801,
,Lervig Konrad's Stout,0.33,53.7,162.7,Øl,9,8,0,8,0,Norge,Rogaland,,10.4,3.6,Lervig Aktiebrygeri,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9302602,
,Bonterra The Butler 2007,0.75,350,466.7,Rødvin,9,7,8,0,0,USA,California,Mendocino,14,0.2,Bonterra Vinyards,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9302701,
,Bonterra The McNab 2006,0.75,350,466.7,Rødvin,9,7,7,0,0,USA,California,Mendocino,14,0.2,Bonterra Vinyards,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9302801,
,Chandra Kurt Heida 2010,0.75,310,413.3,Hvitvin,9,8,0,0,1,Sveits,Valais,,14,5.4,Chandra Kurt,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9303001,
,Fouassier Sancerre Les Romains 2012,0.75,199.9,266.5,Hvitvin,8,8,0,0,1,Frankrike,Loire,Sancerre,13.5,1,Dom. Fouassier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9303201,
,Fourrey Chablis Cuvée Marie 2010,1.5,369.9,246.6,Hvitvin,7,8,0,0,1,Frankrike,Burgund,Chablis,12,1,Dom. Fourrey,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9303305,
,Texier Côtes du Rhône Chat Fou Non Filtré 2013,0.75,154.9,206.5,Rødvin,8,8,8,0,0,Frankrike,Rhône Sør,Côtes du Rhône,12.5,1,Eric Texier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9303401,
,Texier Brézème Côtes du Rhône 2013,0.75,199.9,266.5,Rødvin,8,8,8,0,0,Frankrike,Rhône Sør,Côtes du Rhône,12,1,Eric Texier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9303501,
,Ten. Ulisse Unico Pecorino 2012,0.75,160,213.3,Hvitvin,9,10,0,0,3,Italia,Abruzzo,Terre di Chieti,13,3.5,Ten. Ulisse,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9304401,
