productId;packagingId;
204401;tetrapakelopak;
204606;bibunder4ltr;
207806;bibunder4ltr;
208701;engangsflaskeravglass;
208901;engangsflaskeravglass;
209001;engangsflaskeravglass;
209101;engangsflaskeravglass;
209201;engangsflaskeravglass;
209301;engangsflaskeravglass;
210702;engangsflaskeravglass;
210802;engangsflaskeravglass;
211302;engangsflaskeravglass;
211402;engangsflaskeravglass;
212401;engangsflaskeravglass;
212501;engangsflaskeravglass;
213201;engangsflaskeravglass;
216601;engangsflaskeravglass;
217701;engangsflaskeravglass;
219101;engangsflaskeravglass;
222501;engangsflaskeravglass;
222606;bibunder4ltr;
222702;engangsflaskeravglass;
222806;bibunder4ltr;
222902;engangsflaskeravglass;
229601;engangsflaskeravglass;
229702;engangsflaskeravglass;
229802;engangsflaskeravglass;
229902;engangsflaskeravglass;
230101;engangsflaskeravglass;
230301;engangsflaskeravglass;
230501;engangsflaskeravglass;
230601;engangsflaskeravglass;
230701;engangsflaskeravglass;
232101;engangsflaskeravglass;
233701;engangsflaskeravglass;
233702;engangsflaskeravglass;
236002;engangsflaskeravglass;
237301;engangsflaskeravglass;
237401;engangsflaskeravglass;
240901;engangsflaskeravglass;
241001;engangsflaskeravglass;
241102;engangsflaskeravglass;
241202;engangsflaskeravglass;
241302;engangsflaskeravglass;
241802;engangsflaskeravglass;
242301;engangsflaskeravglass;
242602;engangsflaskeravglass;
242702;engangsflaskeravglass;
242801;engangsflaskeravglass;
242901;engangsflaskeravglass;
243001;engangsflaskeravglass;
243401;engangsflaskeravglass;
243601;engangsflaskeravglass;
243702;engangsflaskeravglass;
243801;engangsflaskeravglass;
243901;engangsflaskeravglass;
244001;engangsflaskeravglass;
244101;engangsflaskeravglass;
244201;engangsflaskeravglass;
245201;engangsflaskeravglass;
245701;engangsflaskeravglass;
245801;engangsflaskeravglass;
246001;engangsflaskeravglass;
246501;engangsflaskeravglass;
246601;engangsflaskeravglass;
246701;engangsflaskeravglass;
247301;engangsflaskeravglass;
247401;engangsflaskeravglass;
247402;engangsflaskeravglass;
247601;engangsflaskeravglass;
247701;engangsflaskeravglass;
247702;engangsflaskeravglass;
248101;engangsflaskeravglass;
248102;engangsflaskeravglass;
248201;engangsflaskeravglass;
248202;engangsflaskeravglass;
253601;engangsflaskeravglass;
253701;engangsflaskeravglass;
253901;engangsflaskeravglass;
254201;engangsflaskeravglass;
254501;engangsflaskeravglass;
254502;engangsflaskeravglass;
256101;engangsflaskeravglass;
256801;engangsflaskeravglass;
256901;engangsflaskeravglass;
257101;engangsflaskeravglass;
257201;engangsflaskeravglass;
257301;engangsflaskeravglass;
257401;engangsflaskeravglass;
258101;engangsflaskeravglass;
258201;engangsflaskeravglass;
258301;engangsflaskeravglass;
258401;engangsflaskeravglass;
259501;engangsflaskeravglass;
259801;engangsflaskeravglass;
260201;engangsflaskeravglass;
260501;engangsflaskeravglass;
260502;engangsflaskeravglass;
262202;engangsflaskeravglass;
263702;norskolflaskepant;
264201;engangsflaskeravglass;
264701;engangsflaskeravglass;
264801;engangsflaskeravglass;
264805;engangsflaskeravglass;
265701;engangsflaskeravglass;
265801;engangsflaskeravglass;
265901;engangsflaskeravglass;
266001;engangsflaskeravglass;
266201;engangsflaskeravglass;
266901;engangsflaskeravglass;
266902;engangsflaskeravglass;
266907;engangsflaskeravglass;
267001;engangsflaskeravglass;
267101;engangsflaskeravglass;
267201;engangsflaskeravglass;
267301;engangsflaskeravglass;
267401;engangsflaskeravglass;
267502;engangsflaskeravglass;
270101;engangsflaskeravglass;
271101;engangsflaskeravglass;
271401;engangsflaskeravglass;
271601;engangsflaskeravglass;
271801;engangsflaskeravglass;
272501;engangsflaskeravglass;
272605;engangsflaskeravglass;
272901;engangsflaskeravglass;
273605;engangsflaskeravglass;
273701;engangsflaskeravglass;
273901;engangsflaskeravglass;
274001;engangsflaskeravglass;
274101;engangsflaskeravglass;
274201;engangsflaskeravglass;
274202;engangsflaskeravglass;
274205;engangsflaskeravglass;
274701;engangsflaskeravglass;
275001;engangsflaskeravglass;
275101;engangsflaskeravglass;
275206;bibunder4ltr;
275301;engangsflaskeravglass;
275401;engangsflaskeravglass;
275501;engangsflaskeravglass;
275701;engangsflaskeravglass;
275801;engangsflaskeravglass;
275901;engangsflaskeravglass;
276001;engangsflaskeravglass;
276101;engangsflaskeravglass;
276301;engangsflaskeravglass;
277901;engangsflaskeravglass;
277902;engangsflaskeravglass;
278201;engangsflaskeravglass;
278401;engangsflaskeravglass;
278601;engangsflaskeravglass;
278701;engangsflaskeravglass;
279001;engangsflaskeravglass;
279201;engangsflaskeravglass;
279202;engangsflaskeravglass;
279205;engangsflaskeravglass;
279207;glassflaskeoverellerlik4ltr;
279301;engangsflaskeravglass;
279502;engangsflaskeravglass;
279601;engangsflaskeravglass;
279701;engangsflaskeravglass;
279801;engangsflaskeravglass;
280001;engangsflaskeravglass;
280201;engangsflaskeravglass;
280301;engangsflaskeravglass;
280402;engangsflaskeravglass;
280602;engangsflaskeravglass;
280701;engangsflaskeravglass;
280804;engangsflaskeravglass;
281402;engangsflaskeravglass;
281501;engangsflaskeravglass;
281601;engangsflaskeravglass;
281801;engangsflaskeravglass;
281807;engangsflaskeravglass;
281901;engangsflaskeravglass;
282001;engangsflaskeravglass;
282101;engangsflaskeravglass;
282401;engangsflaskeravglass;
282501;engangsflaskeravglass;
282502;engangsflaskeravglass;
282506;bibunder4ltr;
282601;engangsflaskeravglass;
282801;engangsflaskeravglass;
283101;engangsflaskeravglass;
283801;engangsflaskeravglass;
284001;engangsflaskeravglass;
284101;engangsflaskeravglass;
284201;engangsflaskeravglass;
284301;engangsflaskeravglass;
284401;engangsflaskeravglass;
284604;engangsflaskeravglass;
284801;engangsflaskeravglass;
285101;engangsflaskeravglass;
285105;engangsflaskeravglass;
285201;engangsflaskeravglass;
285504;engangsflaskeravglass;
285602;engangsflaskeravglass;
285706;bibunder4ltr;
286201;engangsflaskeravglass;
286501;engangsflaskeravglass;
286601;engangsflaskeravglass;
286801;engangsflaskeravglass;
287001;engangsflaskeravglass;
287301;engangsflaskeravglass;
287401;engangsflaskeravglass;
287506;bibunder4ltr;
287601;engangsflaskeravglass;
287701;engangsflaskeravglass;
287801;engangsflaskeravglass;
287901;engangsflaskeravglass;
288001;engangsflaskeravglass;
288201;engangsflaskeravglass;
288701;engangsflaskeravglass;
289401;engangsflaskeravglass;
289501;engangsflaskeravglass;
289902;engangsflaskeravglass;
290301;engangsflaskeravglass;
290904;engangsflaskeravglass;
292701;engangsflaskeravglass;
292801;engangsflaskeravglass;
292805;engangsflaskeravglass;
292901;engangsflaskeravglass;
293001;engangsflaskeravglass;
293101;engangsflaskeravglass;
293201;engangsflaskeravglass;
293501;engangsflaskeravglass;
294001;engangsflaskeravglass;
294101;engangsflaskeravglass;
294201;engangsflaskeravglass;
294401;engangsflaskeravglass;
294701;engangsflaskeravglass;
294901;engangsflaskeravglass;
295101;engangsflaskeravglass;
295301;engangsflaskeravglass;
295302;engangsflaskeravglass;
295306;bibunder4ltr;
295601;engangsflaskeravglass;
295602;engangsflaskeravglass;
295801;engangsflaskeravglass;
297001;engangsflaskeravglass;
298201;engangsflaskeravglass;
298502;pet;
298601;engangsflaskeravglass;
298605;engangsflaskeravglass;
299101;engangsflaskeravglass;
299102;engangsflaskeravglass;
299201;engangsflaskeravglass;
299301;engangsflaskeravglass;
299401;engangsflaskeravglass;
299601;engangsflaskeravglass;
299602;engangsflaskeravglass;
299605;engangsflaskeravglass;
306402;engangsflaskeravglass;
306502;engangsflaskeravglass;
306601;engangsflaskeravglass;
306701;engangsflaskeravglass;
306801;engangsflaskeravglass;
306901;engangsflaskeravglass;
307001;engangsflaskeravglass;
307101;engangsflaskeravglass;
