productId;name;pricePerLiter;url;
101901;Concha y Toro Cabernet Sauvignon 2013;119.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-101901;
103101;Jim Beam Honey;521.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-103101;
103301;Drambuie 15 Y.O.;714.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-103301;
103401;Jim Beam Red Stag Black Cherry;521.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-103401;
103801;Marc-Antonin Blain Chassagne-Montrachet Blanc 2011;465.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-103801;
104001;Marc-Antonin Blain Chassagne-Montrachet 2011;465.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-104001;
104201;Fontaine-Gagnard Chassagne-Montrachet La Boudriotte 2010;599.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-104201;
105301;Fontaine-Gagnard Chassagne-Montrachet 1er Cru Maltroie 2010;599.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-105301;
105601;Muros de Melgaco Alvarinho 2012;286.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-105601;
106102;Brænderiet Enghaven Porse;599.80;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106102;
106202;Toro Albalá Fino Eléctrico;227.80;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106202;
106308;BenRiach Classic & Peated Single Malt Collection (4x5 cl);1474.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106308;
106401;Ch. Haut-Goujon 2009/2010;305.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106401;
106501;Ringi Eple og Aronia;92.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106501;
106601;Henriot Cuvée des Enchanteleurs 1998 Brut;1438.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106601;
106801;Barone Montalto Collectione di Famiglia Nero d'Avola Appassimento 2013;173.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106801;
106806;Barone Montalto Collezione di Famiglia Nero d'Avola Appassimento 2012;133.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-106806;
108205;Ch. de Pez 2007;452.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-108205;
108305;Ch. de Pez 2006;486.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-108305;
108401;Ron de Jeremy Spiced;492.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-108401;
